Mean	Min	Max	Segment	Timing	Time
0.00956182717520093	0.00124811104097908	0.0336163756617116	1-3N-II	Pre-CNV	ECA
0.00727752620582605	0.000596111626377035	0.0299309194452739	2-3N-II	Pre-CNV	ECA
0.0273691305921976	0.000805196463947949	0.147483655705365	3-3N-II	Pre-CNV	ECA/MRCA
0	0	0.019831188835369	4-3N-II	Pre-CNV	ECA
0.0106476564827511	0.000765904679992483	0.0455453576822168	5-3N-II	Pre-CNV	ECA
0.018332233279518	0.00350575541164888	0.0553738795388705	7-4N-II	Pre-CNV	ECA
0.119480675073417	0.0352202814884768	0.293737657750125	9-3N-II	Pre-CNV	MRCA
0	0	0.0911848183146511	10-3N-II	Pre-CNV	ECA/MRCA
0.0102217231630272	0.000563673750635165	0.0471411291376715	12-3N-II	Pre-CNV	ECA
0.0331819778124788	0.00653979236993519	0.0989274366916027	14-3N-II	Pre-CNV	ECA/MRCA
0	0	0.0481340077618452	15-2N-II	Pre-CNV	ECA/MRCA
0.0742208269241273	0.0215596043567709	0.183879203408696	17-4N-III	Pre-CNV	ECA/MRCA
0.00918621048825443	4.97188050195263e-05	0.0679900546745302	18-4N-II	Pre-CNV	ECA/MRCA
0.032427581266275	0.000820995275894505	0.180674918846375	21-3N-II	Pre-CNV	ECA/MRCA
