Mean	Min	Max	Segment	Timing	Time
0.280944253476293	0.215197944122693	0.360449908629412	1-4N-II	Pre-CNV	MRCA
0.252415027697313	0.190507259925688	0.32802616968231	2-4N-III	Pre-CNV	MRCA
0.297609785756967	0.225756972138384	0.385070101153932	3-4N-II	Pre-CNV	MRCA
0.454524437123727	0.354697179685737	0.573733244081481	4-4N-II	Pre-CNV	MRCA
0.340698721571638	0.259610819017002	0.439101596781614	5-4N-II	Pre-CNV	MRCA
0.316300554713035	0.235212163030874	0.416322887379626	6-4N-II	Pre-CNV	MRCA
0.367328727711645	0.273703668085133	0.482661775089729	8-4N-II	Pre-CNV	MRCA
0.21535170791507	0.136514509733716	0.323133298576501	9-4N-II	Pre-CNV	MRCA
0.309991040589713	0.221060351700173	0.422762674607843	10-4N-II	Pre-CNV	MRCA
0.308802298643653	0.209389847668099	0.439047810290512	11-4N-II	Pre-CNV	MRCA
0.225200693830483	0.146657594757062	0.330780567443905	12-4N-II	Pre-CNV	MRCA
0.344535734934363	0.236689377679391	0.484650495364975	13-3N-II	Pre-CNV	MRCA
0.268058252742095	0.170187746728034	0.401732598722678	14-4N-II	Pre-CNV	MRCA
0.242352503158418	0.144747765468393	0.380781514945367	15-4N-II	Pre-CNV	MRCA
0.0529970620283709	0.00641819007942073	0.191443610230986	16-2N-II	Pre-CNV	MRCA
0.326984101238155	0.15761460236815	0.599235601648703	16-4N-II	Pre-CNV	MRCA
0.0689658882302953	0.00174606511568061	0.384253335358556	17-4N-IV	Pre-CNV	MRCA
0.347496817689621	0.225560119028699	0.511746466787359	18-4N-II	Pre-CNV	MRCA
0.311754469489302	0.181526392249271	0.499318401681262	19-4N-II	Pre-CNV	MRCA
0.317302229571882	0.18986916305407	0.497828577773123	20-4N-II	Pre-CNV	MRCA
0.312807980341224	0.151197849324258	0.572185408665528	21-4N-II	Pre-CNV	MRCA
0.261424834885879	0.118502606918515	0.499116090677621	22-4N-II	Pre-CNV	MRCA
