Mean	Min	Max	Segment	Timing	Time
0.0548676252399913	0.0284143362882141	0.0956921234577251	1-4N-II	Pre-CNV	ECA
0.0457878542401027	0.0161779692060939	0.101883131639061	2-4N-II	Pre-CNV	ECA
0.0271225204619007	0.00557295846083987	0.0793921606401422	3-3N-II	Pre-CNV	ECA
0.0816482228774401	0.0321571039725766	0.170362668910161	3-4N-II	Pre-CNV	ECA/MRCA
0.123898739330327	0.0287449665773726	0.343101493853655	4-3N-II	Pre-CNV	ECA/MRCA
0.105606203519038	0.0562071466932237	0.180644247625286	4-4N-II	Pre-CNV	ECA/MRCA
0.0507634597727229	0.00180080669920717	0.261901452030852	5-3N-II	Pre-CNV	ECA/MRCA
0.0497336455097412	0.0209449758166714	0.0995513651376221	5-4N-II	Pre-CNV	ECA
0.0631537041262264	0.0309734459940775	0.114380512081675	6-4N-II	Pre-CNV	ECA
0.0347061499694387	0.00754006522158188	0.0990736063358451	7-4N-II	Pre-CNV	ECA
0	0	0.144605730279036	8-3N-II	Pre-CNV	ECA/MRCA
0.0256019712550377	0.00489598009733526	0.07733266594518	8-4N-II	Pre-CNV	ECA
0.0813076262423504	0.025324864665971	0.194104660772154	9-4N-II	Pre-CNV	ECA/MRCA
0.0622035983957474	0.0268550987060967	0.122565886461135	10-4N-II	Pre-CNV	ECA
0.0617214864784553	0.0266045467421245	0.121739693776529	11-4N-II	Pre-CNV	ECA
0.0592224255584781	0.0219695138772722	0.128085511567531	12-4N-II	Pre-CNV	ECA/MRCA
0.0600080685674013	0.0213608929243811	0.132951912101812	13-4N-II	Pre-CNV	ECA/MRCA
0.0702290434262469	0.0260525962857934	0.151890485222813	14-4N-II	Pre-CNV	ECA/MRCA
0.0335207545060929	0.00574249397270085	0.106044666639305	15-4N-II	Pre-CNV	ECA
0.0777208763374902	0.0279307930701251	0.17124823675498	16-4N-II	Pre-CNV	ECA/MRCA
0.0731643393529744	0.0255332208492035	0.163958057624271	17-4N-II	Pre-CNV	ECA/MRCA
0	0	0.300644573535627	18-4N-II	Pre-CNV	ECA/MRCA
0.0484019009070153	0.00871242524619866	0.150010458899276	19-4N-II	Pre-CNV	ECA/MRCA
0	0	0.325885726906075	20-3N-II	Pre-CNV	ECA/MRCA
0.0269216527960681	0.00134159092526595	0.127564604316517	20-4N-II	Pre-CNV	ECA/MRCA
0.0719066103093161	0.0111138791192676	0.237081395402693	21-4N-II	Pre-CNV	ECA/MRCA
0	0	0.108792257481082	22-4N-II	Pre-CNV	ECA/MRCA
