VAF	Data	Mmin	Mmax	CN
0.1	955	1004.98410625057	1107.66470418939	2
0.15	841	733.837849084091	793.134247271591	2
0.2	725	607.278970932386	648.886275249811	2
0.25	632	520.690257484849	563.814910712121	2
0.3	493	446.380091136742	499.207791340151	2
0.35	384	385.266867280871	440.111044325	2
0.4	252	307.422875182197	366.599482666288	2
0.45	155	207.637219242424	256.771372757386	2
0.5	87	120.968645325947	160.978740264583	2
0.55	25	40.6889089246212	65.9048519922348	2
0.6	5	8.78465158333333	24.37740814375	2
0.65	0	0.798604689393939	6.80810497708333	2
0.7	0	0	1.59720937878788	2
0.75	0	0	0.798604689393939	2
0.8	0	0	0	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
