VAF	Data	Mmin	Mmax	CN
0.1	19	17.8299861167727	19.7760398920455	1
0.15	15	13.8080197146818	15.4751513088182	1
0.2	10	12.2177060327273	13.3151047781818	1
0.25	7	10.9182030183182	11.7613710544091	1
0.3	5	9.91316866727273	10.6273923507727	1
0.35	4	9.3452648165	9.98632858363636	1
0.4	4	8.81394092390909	9.52999360531818	1
0.45	4	8.35760594559091	9.03524967090909	1
0.5	4	8.26707054909091	8.77918996363636	1
0.55	4	8.0475908	8.48655029818182	1
0.6	4	7.79153109272727	8.28627502713636	1
0.65	4	7.62600678195455	8.06679527804545	1
0.7	4	7.42573151090909	7.866520007	1
0.75	4	7.20625176181818	7.66441573804545	1
0.8	3	6.71150782740909	7.28124067609091	1
0.85	3	5.48699372727273	6.51123255636364	1
0.9	3	3.73115573454545	5.01145427090909	1
0.95	1	1.37083393286364	2.54322159259091	1
1	1	0.695019205454545	1.53818724154545	1
0.1	510	503.356979302439	536.703144476811	2
0.15	437	410.086493167432	432.073377720144	2
0.2	387	365.8017614685	385.593615949394	2
0.25	350	335.455470725614	354.131518253333	2
0.3	320	309.846786554402	326.327804010303	2
0.35	279	279.463911976985	301.560548033288	2
0.4	239	238.142470875008	260.970783621917	2
0.45	170	166.401571361083	196.857613607561	2
0.5	119	106.404082731386	137.939348096508	2
0.55	46	44.2115640298712	68.0459322263636	2
0.6	8	14.6335338121212	29.6511978868106	2
0.65	0	2.19503007181818	10.627603931053	2
0.7	0	0	2.92670676242424	2
0.75	0	0	1.11580695317424	2
0.8	0	0	0.731676690606061	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
