VAF	Data	Mmin	Mmax	CN
0.1	398	402.286627213568	446.894501896432	2
0.15	355	318.343441090909	346.2382851165	2
0.2	309	275.745109379932	300.874344761045	2
0.25	271	249.441982559795	271.805609296432	2
0.3	244	227.197734613568	246.755959775591	2
0.35	204	204.913693737205	226.819701777273	2
0.4	150	166.294655039864	193.811466229159	2
0.45	111	114.185813026295	141.662831285455	2
0.5	77	73.1791985207727	99.1042925046136	2
0.55	29	27.8152581653182	48.5473747663636	2
0.6	10	8.75444463	19.5184322318864	2
0.65	0	1.17389143902273	7.16272742454545	2
0.7	0	0	2.38757580818182	2
0.75	0	0	0.795858602727273	2
0.8	0	0	0	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
