VAF	Data	Mmin	Mmax	CN
0.1	888	872.42907698103	916.513237439151	2
0.15	812	790.512299601636	817.320026935758	2
0.2	767	752.325531199212	777.639663156303	2
0.25	738	718.773527832727	745.288695247636	2
0.3	696	667.590939861091	702.790517509455	2
0.35	571	602.011324286121	637.826817553879	2
0.4	459	491.439072714424	534.383789276667	2
0.45	319	327.805690531939	367.085709158788	2
0.5	191	205.977581015818	241.146362883212	2
0.55	70	83.1178128372121	110.864811490909	2
0.6	10	28.9172383305455	46.2244672355151	2
0.65	0	6.15915619393939	14.7819748654545	2
0.7	0	0.615915619393939	4.92732495515151	2
0.75	0	0	1.84774685818182	2
0.8	0	0	0.615915619393939	2
0.85	0	0	0.323355700181813	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
0.1	326	325.014864559424	337.643980160894	3
0.15	304	298.277735929121	308.145407464242	3
0.2	289	274.118233605833	285.945235348394	3
0.25	267	227.679183316076	241.001793191394	3
0.3	224	147.283979665833	163.798334271394	3
0.35	165	75.3402152685758	88.2492351853939	3
0.4	115	27.7314156012424	37.1854971778636	3
0.45	47	6.18296099575758	10.6948514521212	3
0.5	4	1.16974937757576	3.17503402484848	3
0.55	0	0	0.756159419075756	3
0.6	0	0	0.334214107878788	3
0.65	0	0	0.0877312033181804	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
