VAF	Data	Mmin	Mmax	CN
0.1	41	22.8405057016364	25.1065183600909	1
0.15	30	20.1601847586136	21.2697042236364	1
0.2	21	18.8646493290909	19.7665449145455	1
0.25	17	17.9251747609091	18.6391754327273	1
0.3	14	17.2290241058864	17.7570088132045	1
0.35	14	16.8156552958864	17.4187979686591	1
0.4	13	16.4774444513409	17.0232791754545	1
0.45	13	16.1016546240682	16.6474893481818	1
0.5	12	15.9137597104318	16.5169023832045	1
0.55	9	15.4252329349773	16.1984205045909	1
0.6	9	14.8239692113409	15.70801478	1
0.65	9	13.5284337818182	14.7309612290909	1
0.7	9	11.4240107490909	12.8520120927273	1
0.75	7	9.18524285311364	10.9213918551136	1
0.8	6	6.12161628627273	7.72529937415909	1
0.85	4	3.02228968584091	4.41834889415909	1
0.9	2	1.14521949861364	2.10442303272727	1
0.95	0	0.112736948181818	0.526105758181818	1
1	0	0.0751579654545455	0.41336881	1
0.1	721	719.340482588697	750.172356708788	2
0.15	682	654.722886998008	675.032772331083	2
0.2	637	623.960926424674	642.505494702121	2
0.25	603	597.393778656795	616.672439175197	2
0.3	561	560.33959887528	583.113936731561	2
0.35	479	491.12518758528	522.28915105247	2
0.4	385	383.091279458136	413.55610745775	2
0.45	253	227.516159535841	268.135930201992	2
0.5	150	123.379931640432	156.60634473697	2
0.55	35	39.4836755313409	60.8946992258485	2
0.6	5	9.78789654606061	20.9740640272727	2
0.65	0	0.699135467575758	5.59308374060606	2
0.7	0	0	2.09740640272727	2
0.75	0	0	0.699135467575758	2
0.8	0	0	0	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
0.1	113	87.51765494125	90.1358425818182	3
0.15	104	80.7774764121212	83.2109594572349	3
0.2	98	74.7114696564015	77.6082533951136	3
0.25	85	61.0433295927651	64.86363630875	3
0.3	58	36.8793508924242	41.7463169826515	3
0.35	34	15.910761693447	19.2416012314773	3
0.4	11	4.27745058973485	6.71709045469697	3
0.45	2	0.554113786363636	1.41606856515152	3
0.5	0	0	0.369409190909091	3
0.55	0	0	0.123136396969697	3
0.6	0	0	0.0323233042045449	3
0.65	0	0	0	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
