VAF	Data	Mmin	Mmax	CN
0.1	16	35.6876643510379	40.2433771584848	2
0.15	16	24.6945080294773	27.3973575899621	2
0.2	14	20.0778528070985	22.2835405615606	2
0.25	12	16.3731954783485	18.3265602516894	2
0.3	8	12.9561435814697	14.7341652662348	2
0.35	5	10.3270664180076	12.3392352759318	2
0.4	4	7.63277017891667	9.49418674727273	2
0.45	2	4.63910769103788	6.41712937580303	2
0.5	2	3.24812379934848	4.87539319454545	2
0.55	1	1.41129803	2.48260153459091	2
0.6	0	0.619046635886364	1.3685314230303	2
0.65	0	0.148613959219697	0.621184966234848	2
0.7	0	0	0.279052110477272	2
0.75	0	0	0.128299820909091	2
0.8	0	0	0.0855332139393939	2
0.85	0	0	0.042766606969697	2
0.9	0	0	0.042766606969697	2
0.95	0	0	0	2
1	0	0	0	2
0.1	230	238.396189683932	263.749965191136	3
0.15	203	167.172570391811	179.892009020909	3
0.2	151	128.693486366159	142.198479619803	3
0.25	96	91.7331412812955	106.324818432227	3
0.3	48	54.3014634217045	66.1240605211136	3
0.35	25	26.9445236219091	38.1059455789924	3
0.4	13	12.3070224512121	19.1282551076818	3
0.45	0	3.26659798040151	7.60678728101515	3
0.5	0	0.785554624545455	3.66592158121212	3
0.55	0	0	1.04740616606061	3
0.6	0	0	0.523703083030303	3
0.65	0	0	0.261851541515151	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
0.1	307	280.959215946	305.4732623935	4
0.15	209	187.972404606	206.844961487	4
0.2	118	122.794733106	141.667289987	4
0.25	47	65.0255902665	78.50288434	4
0.3	14	21.7258905	32.73367502	4
0.35	1	5.21421372	11.5871416	4
0.4	0	0.57935708	3.76582102	4
0.45	0	0	1.0211168535	4
0.5	0	0	0.28967854	4
0.55	0	0	0	4
0.6	0	0	0	4
0.65	0	0	0	4
0.7	0	0	0	4
0.75	0	0	0	4
0.8	0	0	0	4
0.85	0	0	0	4
0.9	0	0	0	4
0.95	0	0	0	4
1	0	0	0	4
