VAF	Data	Mmin	Mmax	CN
0.1	455	452.122086868455	485.637778348	2
0.15	430	414.309040974545	432.710532954	2
0.2	408	395.94427852	412.10526948	2
0.25	396	380.866808544818	395.94427852	2
0.3	377	358.829093599364	376.495995080636	2
0.35	312	322.797429663545	347.112375153364	2
0.4	258	266.619621315091	294.956449782455	2
0.45	175	175.916059552091	207.925840510364	2
0.5	113	110.078386152545	138.139743183091	2
0.55	37	39.2822268902727	62.0912618588182	2
0.6	5	13.5715594539091	27.5655084442727	2
0.65	0	2.20377149454545	8.81508597818182	2
0.7	0	0	2.20377149454545	2
0.75	0	0	1.12025050972727	2
0.8	0	0	0	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
0.1	56	38.3233644697273	39.8523027048182	3
0.15	49	35.5158207649091	36.9998562618182	3
0.2	40	33.1359756412727	34.7120617514545	3
0.25	37	27.9059292115455	30.1982139957273	3
0.3	29	17.8005679837273	20.2960376581818	3
0.35	22	8.507946317	11.026989929	3
0.4	14	2.78396976727273	4.44761621690909	3
0.45	6	0.49393012	1.19104513027273	3
0.5	0	0.0449027381818182	0.359221905454545	3
0.55	0	0	0.0898054763636364	3
0.6	0	0	0.0449027381818182	3
0.65	0	0	0	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
