VAF	Data	Mmin	Mmax	CN
0.1	863	897.788195452485	970.151689581909	2
0.15	831	733.467620387454	776.225420166879	2
0.2	742	664.226181298576	695.123760492939	2
0.25	651	604.960964063394	639.895683396394	2
0.3	560	547.956545305849	582.819493258606	2
0.35	430	475.844251007273	513.542168479606	2
0.4	343	385.340540521576	427.075598132545	2
0.45	249	259.812396477576	303.252024369303	2
0.5	174	166.09691672603	203.489805832333	2
0.55	70	68.1469255401818	94.3973078638485	2
0.6	16	25.1199830848485	43.4396278917273	2
0.65	0	5.74171041939394	16.1665033996061	2
0.7	0	0.717713802424242	5.0239966169697	2
0.75	0	0	2.15314140727273	2
0.8	0	0	0.717713802424242	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
0.1	157	117.320015446402	124.647949334621	3
0.15	133	98.7762768394697	104.140601749205	3
0.2	109	86.4849839970455	92.4957259846212	3
0.25	86	70.5250400287879	76.4102459461743	3
0.3	60	44.9643972000758	50.3287221098106	3
0.35	33	22.559019180303	27.8090500559848	3
0.4	17	8.3153593955303	11.2420361363636	3
0.45	6	1.57388505909091	3.29766393333333	3
0.5	0	0.224840722727273	1.01365692496212	3
0.55	0	0	0.224840722727273	3
0.6	0	0	0.0749469075757576	3
0.65	0	0	0	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
