VAF	Data	Mmin	Mmax	CN
0.1	1424	1418.52738136073	1468.70855536327	2
0.15	1376	1337.51766786582	1370.79590792909	2
0.2	1333	1300.94175395709	1325.85332437818	2
0.25	1288	1270.79159308436	1294.94940948364	2
0.3	1242	1220.29007362255	1252.73918426182	2
0.35	1131	1138.52660610582	1179.66273184655	2
0.4	971	982.782181347636	1039.42679608727	2
0.45	740	725.827435309818	794.532114398545	2
0.5	523	491.014213662909	563.054254298182	2
0.55	242	225.372452523636	274.799872504364	2
0.6	87	94.5772858876364	124.444789002182	2
0.65	7	24.87388272	42.9639792436364	2
0.7	0	3.37304924763636	12.4557852105454	2
0.75	0	0	4.52252413090909	2
0.8	0	0	1.50750804363636	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
