VAF	Data	Mmin	Mmax	CN
0.1	547	537.9867646665	587.532833578955	2
0.15	428	399.153342058182	432.0486828935	2
0.2	365	335.721997002424	362.796351599394	2
0.25	314	293.950135624242	316.015734620773	2
0.3	277	259.101573493	280.877090118848	2
0.35	226	224.697804330136	253.3579425535	2
0.4	180	187.567260882864	211.586081175318	2
0.45	134	130.730455053939	154.71059769697	2
0.5	91	80.410833153	106.788990060333	2
0.55	45	30.1685665509091	53.7812715244091	2
0.6	12	9.28263586181818	22.4330366660606	2
0.65	0	1.5471059769697	8.14164520380302	2
0.7	0	0	3.09421195393939	2
0.75	0	0	0.773552988484848	2
0.8	0	0	0.773552988484848	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
