VAF	Data	Mmin	Mmax	CN
0.1	22	22.5490147355455	26.0514527890909	1
0.15	20	20.3743807527273	22.5222063398182	1
0.2	18	19.3950858264545	21.0051665345455	1
0.25	18	18.6081805636364	19.8397898026364	1
0.3	18	18.0073571064545	18.9235734545455	1
0.35	17	17.5989233127273	18.4820234072727	1
0.4	17	17.3134927464545	18.1666305163636	1
0.45	17	16.9681375309091	17.8512376254545	1
0.5	15	16.8419803745455	17.7250804690909	1
0.55	15	16.4934712300909	17.4096875781818	1
0.6	14	15.9557263510909	17.0643323626364	1
0.65	13	14.9165067755455	16.2742731709091	1
0.7	11	13.18342284	14.8896983798182	1
0.75	10	10.7832829401818	13.096689795	1
0.8	9	7.41015597190909	9.84341212527273	1
0.85	6	3.81467701554545	6.12177601254545	1
0.9	2	1.48076962281818	3.19335302045454	1
0.95	1	0.189235734545455	0.883100094545455	1
1	1	0.126157156363636	0.69386436	1
0.1	408	399.927409181939	429.255631481212	2
0.15	386	370.662874661818	388.495452824242	2
0.2	373	354.740929873939	368.752241287273	2
0.25	351	342.003374043636	357.320284929576	2
0.3	319	320.349529132121	338.213951184121	2
0.35	279	283.378773334667	306.338217718788	2
0.4	223	225.422894306788	250.92984985697	2
0.45	148	143.934380882424	169.441336432606	2
0.5	94	83.4309906884849	104.78231864903	2
0.55	27	27.3857450351515	43.9445676145455	2
0.6	6	7.64253349818182	17.1957003709091	2
0.65	0	0.636877791515152	5.73190012363636	2
0.7	0	0	2.54751116606061	2
0.75	0	0	0.971238632060601	2
0.8	0	0	0	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
0.1	110	87.2466533226818	91.5475446836591	3
0.15	97	81.1321330745455	84.0931598290909	3
0.2	85	74.8103409535909	78.7213637918864	3
0.25	71	61.5893564945455	66.5293361300455	3
0.3	57	38.0467262736136	44.2229345791364	3
0.35	31	17.8130434508864	22.1608177354773	3
0.4	19	5.72465172545455	8.39451084913636	3
0.45	4	0.789607134545455	2.51934026365909	3
0.5	0	0	0.592205350909091	3
0.55	0	0	0.150518860022726	3
0.6	0	0	0	3
0.65	0	0	0	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
