VAF	Data	Mmin	Mmax	CN
0.1	324	349.994203020114	387.78299371197	2
0.15	282	245.585613353447	266.24190365	2
0.2	228	196.454253147803	213.586753543106	2
0.25	177	163.233338253864	180.591266285947	2
0.3	132	135.707437341742	154.239962007576	2
0.35	88	114.125707273144	132.883659575758	2
0.4	64	89.6964702136364	110.127332873409	2
0.45	47	58.1010072270076	77.8318577515151	2
0.5	34	39.1413565125379	55.300958685947	2
0.55	16	14.190076504697	28.4987991340151	2
0.6	4	4.49668812314394	13.5375228192803	2
0.65	0	0.949168996969697	5.22042948333333	2
0.7	0	0	1.89833799393939	2
0.75	0	0	0.949168996969697	2
0.8	0	0	0.474584498484848	2
0.85	0	0	0	2
0.9	0	0	0	2
0.95	0	0	0	2
1	0	0	0	2
0.1	225	195.024678305697	212.652096650303	3
0.15	181	137.814916482985	149.918507403121	3
0.2	119	108.389091053848	119.516093700045	3
0.25	94	80.672295104106	92.4157690982273	3
0.3	68	50.4102659654091	61.9095928910454	3
0.35	46	23.2977340101667	33.4603557358485	3
0.4	29	8.04464590657576	14.0445601145909	3
0.45	14	1.70902947939394	4.52282444368182	3
0.5	8	0.244147068484848	1.46488241090909	3
0.55	0	0	0.488294136969697	3
0.6	0	0	0.244147068484848	3
0.65	0	0	0	3
0.7	0	0	0	3
0.75	0	0	0	3
0.8	0	0	0	3
0.85	0	0	0	3
0.9	0	0	0	3
0.95	0	0	0	3
1	0	0	0	3
