Mean	Min	Max	Sample
2700.89305532894	2594.08642196737	2835.61237015531	MB101
838.984052126242	789.179729625975	903.303621736741	MB102
1133.65688372444	1099.01228302029	1185.240454293	MB104
246.235411870233	210.781518200523	273.723918991642	MB106
579.755218276855	549.997961570857	646.91569249608	MB107
723.942247151305	713.370713179958	797.733713355686	MB110
187.230528751624	166.209243029385	210.601166195143	MB111
120.318243440178	106.64312253904	134.632848679858	MB112
572.424008249519	517.391059696062	665.162303107844	MB113
228.769228661835	189.790303529836	261.484315204747	MB114
264.413323137455	244.28766993099	292.978277001304	MB115
370.62516228509	330.907694426403	405.902645884416	MB117
369.194664965344	333.98506465543	403.449362865026	MB118
94.7681415117269	76.8612522907397	126.333154679608	MB119
331.820525927801	299.376332454005	359.138960955035	MB122
1192.10624513744	1114.86578638627	1297.84335414745	MB125
1356.84709898469	1307.5293643745	1426.14647625881	MB126
429.466187994536	397.914751410336	470.778461828551	MB129
345.246595139207	294.095216831288	409.887832160299	MB130
771.77063263441	708.341257299171	799.932373424336	MB131
146.73652025607	117.211396767709	162.662377446229	MB132
224.6700592313	208.712940064142	259.239610653598	MB134
1631.20924050805	1582.70625742804	1692.83451694588	MB137
171.106089662089	139.178956296424	196.171653051352	MB139
657.169025176203	601.087310855378	716.814842043281	163724
1332.55328559031	1229.72254000231	1496.92441265454	MB140
85.5885598553606	53.7425487051604	97.691919107376	MB141
117.070604227431	92.9305692127487	144.501000621327	MB142
709.407626227837	673.881598648746	741.258899039566	MB143
389.804772130697	345.752132387139	412.281947080987	MB144
1210.52868384779	1101.78853585202	1254.08529225352	MB145
195.670010507635	182.189650855706	232.952920255501	MB148
408.63078467782	382.363092368823	457.080000899846	146327
848.384362676207	806.142766930038	925.28766599375	MB152
163.511053145651	156.602138620481	216.477539277216	MB153
238.93873404668	212.23564473511	264.652098812251	MB154
103.425080698107	79.8607442924946	136.723211830644	MB155
218.365623304198	188.955090703837	245.345666925533	MB157
140.420338477052	113.555769810664	155.248838138195	135456
265.811951789832	244.472393445984	288.763275099492	MB160
569.020994844385	505.998107347127	609.730210597238	MB161
26.3750908316929	14.5387017391302	36.8015977530066	MB163
228.877516843257	189.328010142771	259.911363614612	MB164
201.793484079164	186.177657017547	231.297666649709	MB165
319.115087706892	280.87880839333	367.903662293145	MB166
397.527248137591	370.709392317546	429.660072103821	MB167
484.864369960489	430.954885932765	505.909076847458	MB168
1105.53267135324	1061.335545948	1187.54912010993	MB170
309.512891008189	273.333482648542	337.872091230062	MB171
243.675272536251	196.3289993136	265.599996759166	MB174
184.246652631453	172.539307040361	211.506446713555	MB175
251.027953707624	219.089583766102	287.56875297044	MB176
938.181840790356	883.34520155268	1006.30564362194	MB178
923.417167137918	890.594135207669	974.915010018815	MB179
753.772593370094	685.772034757102	813.650804507809	173686
1021.25607423387	956.750018283796	1065.08301505495	MB180
536.666982846077	499.507628936616	582.891838244998	MB181
92.8581586445722	66.6015231555818	109.699572613259	MB183
254.955734384015	217.176879244138	301.649021962237	MB184
37.1618442890225	22.6129768447209	44.3924949853028	MB185
25.4219033524638	16.912151815479	34.4111815940033	MB187
42.7193420696538	26.4639275364526	55.3828298842509	MB188
185.838900010207	167.68707800077	208.393561828327	MB189
266.301129848865	240.50673521541	321.161387167939	138689
500.820325364143	414.484386376175	627.67094603622	MB190
35.0763427432125	21.0233091875184	47.4650328959203	MB193
996.573202417354	927.609169122792	1055.72290394797	MB194
318.975083890766	294.895523576401	348.215727192059	MB198
549.055160601016	506.405575351509	582.788572784409	MB199
220.829662133494	177.294302951858	247.933245287121	198274
473.444229805973	428.984751565978	519.888071265936	122566
1723.36836492996	1520.59087487903	1911.6552112538	MB204
351.688234778002	292.466840312858	382.924928673786	MB205
83.1063822623718	68.8357348014588	95.9361511105791	MB206
254.70225447365	222.237804994416	283.464776403341	MB208
126.931716416442	104.594354481287	147.322250672531	MB213
57.606183730289	50.6368152936353	70.5405353921787	MB214
16.840843271396	7.53089876393248	24.9052459191246	MB216
43.8587656686318	37.4560246576431	61.4913189915861	MB217
264.824188270186	226.34013507564	289.331394509889	MB224
393.931127934387	354.728228794133	418.925889920894	MB225
492.495364747981	466.67940108964	525.674516952438	MB226
163.737165710829	140.460439181921	197.450240622456	MB227
624.172903351879	624.172903351879	624.172903351879	MB228
256.526111784382	235.310813782141	282.170424980269	MB229
145.07335210079	127.443211907559	166.749310517766	MB232
264.24183543021	234.884189298363	301.98455111115	MB233
817.699812929546	786.987816051391	870.851991553076	MB234
1106.83219297861	1040.57808056416	1199.0764696846	MB236
421.232854184591	376.504483818017	462.790697405392	MB237
1300.43952014837	1230.79649564938	1344.78649611996	MB239
99.2441462214053	85.8054363421295	114.101969328201	183235
718.936176156172	693.498012646346	773.780826528356	MB240
170.743071215904	151.508949545507	193.979490713956	MB241
449.920932007394	404.840881896484	521.874372173819	MB242
594.526011673529	556.475747979595	642.258015162453	MB243
66.4475167284767	49.1351057201523	83.085769463026	MB244
646.167518891244	581.954170531923	687.832204650815	MB246
630.143098631735	563.825165938702	677.852741148131	MB247
275.888568331485	244.015737851066	307.504020748491	MB248
410.163861552461	345.760487039625	454.820297241298	MB249
235.6104799305	214.146914354577	258.588935239326	130353
246.356470690463	219.747379026921	262.059594170953	MB261
86.0521472875799	66.3207755022314	111.199687058984	MB264
1416.81336939397	1350.39840847945	1509.72095276888	MB265
46.9654188166956	33.1603959132068	60.0294368568625	MB266
100.334069708059	87.2318871279237	122.970350719895	MB268
236.679786390171	214.968312121567	281.321821062782	MB269
166.291293492615	153.371547756111	185.208239083459	MB270
113.13578551346	106.998849769138	134.022946538797	MB271
301.97552843169	270.825163367613	331.652068791738	MB272
125.704648731755	102.003858191324	147.900339154309	MB274
2195.28035222931	2056.21653681502	2341.86547483846	MB275
430.888042465067	392.031871897544	479.148363665569	MB276
105.54638689856	79.4444938176858	120.01574265968	MB277
292.052836321258	268.889613956614	317.037745762246	MB278
125.628202828931	113.90737256657	145.562877306399	MB279
21.5292157853771	9.14728826555095	34.5522949821867	186723
476.536448937641	446.535222014072	497.365860387032	MB280
611.238795390073	590.686785643393	711.850719542409	MB281
216.716433092977	194.913464886805	236.558440250705	MB282
815.358079927983	741.753001289455	854.884337202501	MB284
211.215358454385	189.119729152973	236.871569418524	MB285
104.0196630963	78.9265148188669	119.087865112048	MB287
235.630163469886	209.391271485792	272.741031919319	MB288
2337.50000757775	2184.15561361969	2621.41242407371	MB290
1135.84047240602	1068.44539682929	1211.0836134376	MB291
82.6870937002521	56.4976908728815	101.828557069066	MB292
497.679241105055	466.101619071239	547.036487056152	MB293
195.137977852845	165.420241642426	217.992628159631	MB294
108.966857570729	92.9338398920071	132.611290088854	MB295
23.2248915498049	12.3335296650705	34.2329834384927	MB299
62.8015227184527	48.1417217649894	82.9230131795563	MB302
576.831266629056	547.331108027494	658.116502993859	MB303
665.639081170582	618.779620579689	727.074150744385	MB304
135.94787314536	131.742721329543	160.328314045706	MB305
919.435659647254	894.112964181814	1038.43242905644	MB306
110.791552209745	87.1852997849124	146.559219040019	MB307
2454.0692441527	2360.2781038983	2627.36223335313	MB309
826.410878634595	740.069336117572	949.483859209735	128398
1124.59283816562	1092.2118965992	1231.40692963349	185985
