x	p	B	CN	Peak
0	0.00184466619216445	1	2	non-amplified
0.0476190476190476	0.0310601902086069	1	2	non-amplified
0.0952380952380952	0.249041164735677	1	2	non-amplified
0.142857142857143	1.26465047918327	1	2	non-amplified
0.19047619047619	4.56299564786396	1	2	non-amplified
0.238095238095238	12.4393016490418	1	2	non-amplified
0.285714285714286	26.5969452676209	1	2	non-amplified
0.333333333333333	45.6974542242907	1	2	non-amplified
0.380952380952381	64.1205269858854	1	2	non-amplified
0.428571428571429	74.2617114341035	1	2	non-amplified
0.476190476190476	71.4518088392996	1	2	non-amplified
0.523809523809524	57.2901890693483	1	2	non-amplified
0.571428571428571	38.2794806844745	1	2	non-amplified
0.619047619047619	21.2486930202801	1	2	non-amplified
0.666666666666667	9.73556591405365	1	2	non-amplified
0.714285714285714	3.64279733600926	1	2	non-amplified
0.761904761904762	1.09530055035414	1	2	non-amplified
0.80952380952381	0.258298221996603	1	2	non-amplified
0.857142857142857	0.0460231066220174	1	2	non-amplified
0.904761904761905	0.00582653839169212	1	2	non-amplified
0.952380952380952	0.000467172898072612	1	2	non-amplified
1	1.78371462584566e-05	1	2	non-amplified
0	4.65179711496065e-19	2	2	amplified
0.0476190476190476	7.90382618896495e-17	2	2	amplified
0.0952380952380952	6.39491391652622e-15	2	2	amplified
0.142857142857143	3.27690891904418e-13	2	2	amplified
0.19047619047619	1.1930927473429e-11	2	2	amplified
0.238095238095238	3.2820896849633e-10	2	2	amplified
0.285714285714286	7.08135713846629e-09	2	2	amplified
0.333333333333333	1.22774178959124e-07	2	2	amplified
0.380952380952381	1.73837076117123e-06	2	2	amplified
0.428571428571429	2.03161108149001e-05	2	2	amplified
0.476190476190476	0.00019725096682103	2	2	amplified
0.523809523809524	0.00159593964064288	2	2	amplified
0.571428571428571	0.0107605021225164	2	2	amplified
0.619047619047619	0.0602738615394099	2	2	amplified
0.666666666666667	0.278668762441947	2	2	amplified
0.714285714285714	1.05218569091717	2	2	amplified
0.761904761904762	3.19242703948733	2	2	amplified
0.80952380952381	7.59695204583882	2	2	amplified
0.857142857142857	13.6591663046395	2	2	amplified
0.904761904761905	17.4497483413337	2	2	amplified
0.952380952380952	14.1184327488973	2	2	amplified
1	5.43956932749723	2	2	amplified
0	0.00592052234370784	1	3	non-amplified
0.0357142857142857	0.0737697084025995	1	3	non-amplified
0.0714285714285714	0.443171523228618	1	3	non-amplified
0.107142857142857	1.7091648412517	1	3	non-amplified
0.142857142857143	4.75361471473131	1	3	non-amplified
0.178571428571429	10.1537210306661	1	3	non-amplified
0.214285714285714	17.3205557914779	1	3	non-amplified
0.25	24.2240344569383	1	3	non-amplified
0.285714285714286	28.2967002500111	1	3	non-amplified
0.321428571428571	27.9822924694554	1	3	non-amplified
0.357142857142857	23.6590282829246	1	3	non-amplified
0.392857142857143	17.2280742314751	1	3	non-amplified
0.428571428571429	10.8608651300924	1	3	non-amplified
0.464285714285714	5.94841228663525	1	3	non-amplified
0.5	2.8361180009493	1	3	non-amplified
0.535714285714286	1.17793434306095	1	3	non-amplified
0.571428571428571	0.425896885912971	1	3	non-amplified
0.607142857142857	0.133781727692663	1	3	non-amplified
0.642857142857143	0.0363811976141993	1	3	non-amplified
0.678571428571429	0.00852085944122033	1	3	non-amplified
0.714285714285714	0.00170630210310437	1	3	non-amplified
0.75	0.000289258832716741	1	3	non-amplified
0.785714285714286	4.09564210869387e-05	1	3	non-amplified
0.821428571428571	4.7545062740055e-06	1	3	non-amplified
0.857142857142857	4.40782352485926e-07	1	3	non-amplified
0.892857142857143	3.13837034969978e-08	1	3	non-amplified
0.928571428571429	1.61143246801894e-09	1	3	non-amplified
0.964285714285714	5.31175887606241e-11	1	3	non-amplified
1	8.44190249945632e-13	1	3	non-amplified
0	5.39423950096466e-10	2	3	amplified
0.0357142857142857	2.42206213268539e-08	2	3	amplified
0.0714285714285714	5.24343721157029e-07	2	3	amplified
0.107142857142857	7.28727550004421e-06	2	3	amplified
0.142857142857143	7.30368828270198e-05	2	3	amplified
0.178571428571429	0.000562186600787441	2	3	amplified
0.214285714285714	0.00345584375919486	2	3	amplified
0.25	0.0174170967323129	2	3	amplified
0.285714285714286	0.0733165625961547	2	3	amplified
0.321428571428571	0.261268231073385	2	3	amplified
0.357142857142857	0.796044286027195	2	3	amplified
0.392857142857143	2.08888279478389	2	3	amplified
0.428571428571429	4.74546496772977	2	3	amplified
0.464285714285714	9.36596273603217	2	3	amplified
0.5	16.0920981371981	2	3	amplified
0.535714285714286	24.0849901248635	2	3	amplified
0.571428571428571	31.3810062775531	2	3	amplified
0.607142857142857	35.5219021774528	2	3	amplified
0.642857142857143	34.810752984711	2	3	amplified
0.678571428571429	29.3803415423355	2	3	amplified
0.714285714285714	21.2014897075772	2	3	amplified
0.75	12.9519182083183	2	3	amplified
0.785714285714286	6.60855449941222	2	3	amplified
0.821428571428571	2.76456568953085	2	3	amplified
0.857142857142857	0.923597396277199	2	3	amplified
0.892857142857143	0.236973458071843	2	3	amplified
0.928571428571429	0.0438474797679712	2	3	amplified
0.964285714285714	0.00520844270850773	2	3	amplified
1	0.000298295624875926	2	3	amplified
0	9.63219933329415e-32	3	3	amplified
0.0357142857142857	3.27319646435035e-29	3	3	amplified
0.0714285714285714	5.36283484352303e-27	3	3	amplified
0.107142857142857	5.64072719450563e-25	3	3	amplified
0.142857142857143	4.2786197753779e-23	3	3	amplified
0.178571428571429	2.4924905018747e-21	3	3	amplified
0.214285714285714	1.15957455848579e-19	3	3	amplified
0.25	4.42294867308154e-18	3	3	amplified
0.285714285714286	1.40906097783909e-16	3	3	amplified
0.321428571428571	3.80019475841456e-15	3	3	amplified
0.357142857142857	8.76290364065314e-14	3	3	amplified
0.392857142857143	1.74026921061897e-12	3	3	amplified
0.428571428571429	2.99207649507557e-11	3	3	amplified
0.464285714285714	4.46928349194503e-10	3	3	amplified
0.5	5.81151960559735e-09	3	3	amplified
0.535714285714286	6.58286675324937e-08	3	3	amplified
0.571428571428571	6.49123025583199e-07	3	3	amplified
0.607142857142857	5.56093629403363e-06	3	3	amplified
0.642857142857143	4.1243610847416e-05	3	3	amplified
0.678571428571429	0.000263446031011007	3	3	amplified
0.714285714285714	0.00143877457390784	3	3	amplified
0.75	0.00665199673131419	3	3	amplified
0.785714285714286	0.0256871526669963	3	3	amplified
0.821428571428571	0.0813257284042056	3	3	amplified
0.857142857142857	0.205624711021997	3	3	amplified
0.892857142857143	0.399285802493625	3	3	amplified
0.928571428571429	0.559139733911527	3	3	amplified
0.964285714285714	0.502660972910363	3	3	amplified
1	0.217874155466018	3	3	amplified
