x	p	B	CN	Peak
0	1.37384760377341e-27	1	1	non-amplified
0.0454545454545455	4.8863179774207e-25	1	1	non-amplified
0.0909090909090909	8.29452476667168e-23	1	1	non-amplified
0.136363636363636	8.9396544707461e-21	1	1	non-amplified
0.181818181818182	6.86490966232705e-19	1	1	non-amplified
0.227272727272727	3.99537742347435e-17	1	1	non-amplified
0.272727272727273	1.83010482536368e-15	1	1	non-amplified
0.318181818181818	6.76267306896288e-14	1	1	non-amplified
0.363636363636364	2.04993527402936e-12	1	1	non-amplified
0.409090909090909	5.15520759654052e-11	1	1	non-amplified
0.454545454545455	1.0834527965396e-09	1	1	non-amplified
0.5	1.91081675026074e-08	1	1	non-amplified
0.545454545454545	2.8317242674003e-07	1	1	non-amplified
0.590909090909091	3.52150325561318e-06	1	1	non-amplified
0.636363636363636	3.6598480263694e-05	1	1	non-amplified
0.681818181818182	0.000315560229829184	1	1	non-amplified
0.727272727272727	0.002231931208896	1	1	non-amplified
0.772727272727273	0.0127351368978183	1	1	non-amplified
0.818181818181818	0.0571901981059432	1	1	non-amplified
0.863636363636364	0.194647340921982	1	1	non-amplified
0.909090909090909	0.472019801735805	1	1	non-amplified
0.954545454545455	0.726760647117033	1	1	non-amplified
1	0.534058960381455	1	1	non-amplified
0	5.39846406877537e-09	1	2	non-amplified
0.0277777777777778	1.83023655613237e-07	1	2	non-amplified
0.0555555555555556	3.0163364602279e-06	1	2	non-amplified
0.0833333333333333	3.21937787890989e-05	1	2	non-amplified
0.111111111111111	0.000250126907533752	1	2	non-amplified
0.138888888888889	0.00150756101162091	1	2	non-amplified
0.166666666666667	0.00733533327175414	1	2	non-amplified
0.194444444444444	0.0296058527334322	1	2	non-amplified
0.222222222222222	0.101069494829059	1	2	non-amplified
0.25	0.296121626705204	1	2	non-amplified
0.277777777777778	0.752953922661097	1	2	non-amplified
0.305555555555556	1.6760368869826	1	2	non-amplified
0.333333333333333	3.28834097971909	1	2	non-amplified
0.361111111111111	5.7171454822898	1	2	non-amplified
0.388888888888889	8.84532009083813	1	2	non-amplified
0.416666666666667	12.2174194652742	1	2	non-amplified
0.444444444444444	15.1012642298322	1	2	non-amplified
0.472222222222222	16.7312693351653	1	2	non-amplified
0.5	16.6320007468769	1	2	non-amplified
0.527777777777778	14.8387702115723	1	2	non-amplified
0.555555555555556	11.8782194557683	1	2	non-amplified
0.583333333333333	8.52288330806862	1	2	non-amplified
0.611111111111111	5.4725486377934	1	2	non-amplified
0.638888888888889	3.13707093715637	1	2	non-amplified
0.666666666666667	1.60026150960929	1	2	non-amplified
