x	p	B	CN	Peak
0	1.10855458666245e-07	1	2	non-amplified
0.0285714285714286	3.04852511332173e-06	1	2	non-amplified
0.0571428571428571	4.07195854422258e-05	1	2	non-amplified
0.0857142857142857	0.000351933559893524	1	2	non-amplified
0.114285714285714	0.00221215380504501	1	2	non-amplified
0.142857142857143	0.0107763492502907	1	2	non-amplified
0.171428571428571	0.0423356577689991	1	2	non-amplified
0.2	0.137806886003171	1	2	non-amplified
0.228571428571429	0.37896893650872	1	2	non-amplified
0.257142857142857	0.893283921770554	1	2	non-amplified
0.285714285714286	1.82485144018841	1	2	non-amplified
0.314285714285714	3.25866328605074	1	2	non-amplified
0.342857142857143	5.12075659236544	1	2	non-amplified
0.371428571428571	7.11841438389263	1	2	non-amplified
0.4	8.78906265766334	1	2	non-amplified
0.428571428571429	9.66796892342968	1	2	non-amplified
0.457142857142857	9.49532662122558	1	2	non-amplified
0.485714285714286	8.33833304132834	1	2	non-amplified
0.514285714285714	6.55154738961513	1	2	non-amplified
0.542857142857143	4.60578707465424	1	2	non-amplified
0.571428571428571	2.89506616121123	1	2	non-amplified
0.6	1.62478202925121	1	2	non-amplified
0.628571428571429	0.812391014625601	1	2	non-amplified
0.657142857142857	0.360782345004538	1	2	non-amplified
0.685714285714286	0.141735921251782	1	2	non-amplified
0.714285714285714	0.0490001327756163	1	2	non-amplified
0.742857142857143	0.0148077324321917	1	2	non-amplified
0.771428571428571	0.00387821563700259	1	2	non-amplified
0.8	0.000870619836878134	1	2	non-amplified
0.828571428571429	0.000165117555269991	1	2	non-amplified
0.857142857142857	2.594704439957e-05	1	2	non-amplified
0.885714285714286	3.28821991238791e-06	1	2	non-amplified
0.914285714285714	3.22950169966672e-07	1	2	non-amplified
0.942857142857143	2.30678692833335e-08	1	2	non-amplified
0.971428571428571	1.06616202570028e-09	1	2	non-amplified
1	2.39342495565371e-11	1	2	non-amplified
0	5.4932145311345e-33	2	2	amplified
0.0285714285714286	1.40992506299118e-30	2	2	amplified
0.0571428571428571	1.75770657852899e-28	2	2	amplified
0.0857142857142857	1.41788330668005e-26	2	2	amplified
0.114285714285714	8.31824873252311e-25	2	2	amplified
0.142857142857143	3.78203042372045e-23	2	2	amplified
0.171428571428571	1.38674448869749e-21	2	2	amplified
0.2	4.21306182756671e-20	2	2	amplified
0.228571428571429	1.08135253574212e-18	2	2	amplified
0.257142857142857	2.37897557863268e-17	2	2	amplified
0.285714285714286	4.53591343659292e-16	2	2	amplified
0.314285714285714	7.55985572765489e-15	2	2	amplified
0.342857142857143	1.10877884005605e-13	2	2	amplified
0.371428571428571	1.43856946940605e-12	2	2	amplified
0.4	1.65778005522032e-11	2	2	amplified
0.428571428571429	1.70198752335953e-10	2	2	amplified
0.457142857142857	1.56015522974623e-09	2	2	amplified
0.485714285714286	1.27871546281162e-08	2	2	amplified
0.514285714285714	9.37724672728522e-08	2	2	amplified
0.542857142857143	6.15278995790292e-07	2	2	amplified
0.571428571428571	3.60963677530306e-06	2	2	amplified
0.6	1.89076212039684e-05	2	2	amplified
0.628571428571429	8.82355656185187e-05	2	2	amplified
0.657142857142857	0.000365730025607195	2	2	amplified
0.685714285714286	0.00134101009389304	2	2	amplified
0.714285714285714	0.00432699256962823	2	2	amplified
0.742857142857143	0.0122043380169001	2	2	amplified
0.771428571428571	0.0298328262635337	2	2	amplified
0.8	0.0625068740759753	2	2	amplified
0.828571428571429	0.110644351812646	2	2	amplified
0.857142857142857	0.162278382658547	2	2	amplified
0.885714285714286	0.191942173036991	2	2	amplified
0.914285714285714	0.175946991950575	2	2	amplified
0.942857142857143	0.117297994633717	2	2	amplified
0.971428571428571	0.0505991349400348	2	2	amplified
1	0.0106017235112454	2	2	amplified
