x	p	B	CN	Peak
0	0	1	1	non-amplified
0.0476190476190476	0	1	1	non-amplified
0.0952380952380952	0	1	1	non-amplified
0.142857142857143	0	1	1	non-amplified
0.19047619047619	0	1	1	non-amplified
0.238095238095238	0	1	1	non-amplified
0.285714285714286	0	1	1	non-amplified
0.333333333333333	0	1	1	non-amplified
0.380952380952381	0	1	1	non-amplified
0.428571428571429	0	1	1	non-amplified
0.476190476190476	0	1	1	non-amplified
0.523809523809524	0	1	1	non-amplified
0.571428571428571	0	1	1	non-amplified
0.619047619047619	0	1	1	non-amplified
0.666666666666667	0	1	1	non-amplified
0.714285714285714	0	1	1	non-amplified
0.761904761904762	0	1	1	non-amplified
0.80952380952381	0	1	1	non-amplified
0.857142857142857	0	1	1	non-amplified
0.904761904761905	0	1	1	non-amplified
0.952380952380952	0	1	1	non-amplified
1	0	1	1	non-amplified
0	2.71627314296853e-06	1	2	non-amplified
0.0357142857142857	6.88122529552029e-05	1	2	non-amplified
0.0714285714285714	0.000840492518238545	1	2	non-amplified
0.107142857142857	0.00659052863507685	1	2	non-amplified
0.142857142857143	0.0372678702578751	1	2	non-amplified
0.178571428571429	0.161849036548486	1	2	non-amplified
0.214285714285714	0.561333563267369	1	2	non-amplified
0.25	1.59617298942694	1	2	non-amplified
0.285714285714286	3.79091084988897	1	2	non-amplified
0.321428571428571	7.62193715850693	1	2	non-amplified
0.357142857142857	13.102472924862	1	2	non-amplified
0.392857142857143	19.3984664082371	1	2	non-amplified
0.428571428571429	24.8639073407166	1	2	non-amplified
0.464285714285714	27.6872814343511	1	2	non-amplified
0.5	26.8397115945241	1	2	non-amplified
0.535714285714286	22.664645346487	1	2	non-amplified
0.571428571428571	16.661212501733	1	2	non-amplified
0.607142857142857	10.6407743708547	1	2	non-amplified
0.642857142857143	5.88339112039318	1	2	non-amplified
0.678571428571429	2.80161481923486	1	2	non-amplified
0.714285714285714	1.14065746211705	1	2	non-amplified
0.75	0.393151778326058	1	2	non-amplified
0.785714285714286	0.113180057396895	1	2	non-amplified
0.821428571428571	0.0267133054725591	1	2	non-amplified
0.857142857142857	0.0050352460712165	1	2	non-amplified
0.892857142857143	0.000728911812214196	1	2	non-amplified
0.928571428571429	7.60951891871966e-05	1	2	non-amplified
0.964285714285714	5.09985394905373e-06	1	2	non-amplified
1	1.64791199034049e-07	1	2	non-amplified
0	0	2	2	amplified
0.0357142857142857	0	2	2	amplified
0.0714285714285714	0	2	2	amplified
0.107142857142857	0	2	2	amplified
0.142857142857143	0	2	2	amplified
0.178571428571429	0	2	2	amplified
0.214285714285714	0	2	2	amplified
0.25	0	2	2	amplified
0.285714285714286	0	2	2	amplified
0.321428571428571	0	2	2	amplified
0.357142857142857	0	2	2	amplified
0.392857142857143	0	2	2	amplified
0.428571428571429	0	2	2	amplified
0.464285714285714	0	2	2	amplified
0.5	0	2	2	amplified
0.535714285714286	0	2	2	amplified
0.571428571428571	0	2	2	amplified
0.607142857142857	0	2	2	amplified
0.642857142857143	0	2	2	amplified
0.678571428571429	0	2	2	amplified
0.714285714285714	0	2	2	amplified
0.75	0	2	2	amplified
0.785714285714286	0	2	2	amplified
0.821428571428571	0	2	2	amplified
0.857142857142857	0	2	2	amplified
0.892857142857143	0	2	2	amplified
0.928571428571429	0	2	2	amplified
0.964285714285714	0	2	2	amplified
1	0	2	2	amplified
