x	p	B	CN	Peak
0	1.50755793149203e-20	1	1	non-amplified
0.05	2.86436006983485e-18	1	1	non-amplified
0.1	2.58508496302595e-16	1	1	non-amplified
0.15	1.4734984289248e-14	1	1	non-amplified
0.2	5.94924990678386e-13	1	1	non-amplified
0.25	1.8085719716623e-11	1	1	non-amplified
0.3	4.29535843269792e-10	1	1	non-amplified
0.35	8.16118102212607e-09	1	1	non-amplified
0.4	1.25988232029071e-07	1	1	non-amplified
0.45	1.5958509390349e-06	1	1	non-amplified
0.5	1.66766423129147e-05	1	1	non-amplified
0.55	0.000144025547247899	1	1	non-amplified
0.6	0.00102618202414128	1	1	non-amplified
0.65	0.00599921798728747	1	1	non-amplified
0.7	0.0284962854396155	1	1	non-amplified
0.75	0.108285884670539	1	1	non-amplified
0.8	0.321473720115661	1	1	non-amplified
0.85	0.718588315552654	1	1	non-amplified
0.9	1.13776483295837	1	1	non-amplified
0.95	1.13776483295837	1	1	non-amplified
1	0.540438295655223	1	1	non-amplified
0	2.61474322006188e-06	1	2	non-amplified
0.037037037037037	6.38744415186543e-05	1	2	non-amplified
0.0740740740740741	0.000751285097862267	1	2	non-amplified
0.111111111111111	0.00566445113467584	1	2	non-amplified
0.148148148148148	0.0307498775882402	1	2	non-amplified
0.185185185185185	0.127978061962485	1	2	non-amplified
0.222222222222222	0.424562142066021	1	2	non-amplified
0.259259259259259	1.15238295703634	1	2	non-amplified
0.296296296296296	2.60658049805839	1	2	non-amplified
0.333333333333333	4.9787066656036	1	2	non-amplified
0.37037037037037	8.10817942684017	1	2	non-amplified
0.407407407407407	11.3374110600406	1	2	non-amplified
0.444444444444444	13.6768768343347	1	2	non-amplified
0.481481481481481	14.2780582336461	1	2	non-amplified
0.518518518518518	12.918243163775	1	2	non-amplified
0.555555555555556	10.1295430522299	1	2	non-amplified
0.592592592592593	6.87361849972743	1	2	non-amplified
0.62962962962963	4.02405116650711	1	2	non-amplified
0.666666666666667	2.02267122126018	1	2	non-amplified
0.703703703703704	0.866859094825794	1	2	non-amplified
0.740740740740741	0.313720434317907	1	2	non-amplified
0.777777777777778	0.0946140992387337	1	2	non-amplified
0.814814814814815	0.0233463361757914	1	2	non-amplified
0.851851851851852	0.00459192947556974	1	2	non-amplified
0.888888888888889	0.000692433809808136	1	2	non-amplified
0.925925925925926	7.51785279220264e-05	1	2	non-amplified
0.962962962962963	5.23220523999446e-06	1	2	non-amplified
1	1.75329628853431e-07	1	2	non-amplified
0	0	2	2	amplified
0.037037037037037	0	2	2	amplified
0.0740740740740741	0	2	2	amplified
0.111111111111111	0	2	2	amplified
0.148148148148148	0	2	2	amplified
0.185185185185185	0	2	2	amplified
0.222222222222222	0	2	2	amplified
0.259259259259259	0	2	2	amplified
0.296296296296296	0	2	2	amplified
0.333333333333333	0	2	2	amplified
0.37037037037037	0	2	2	amplified
0.407407407407407	0	2	2	amplified
0.444444444444444	0	2	2	amplified
0.481481481481481	0	2	2	amplified
0.518518518518518	0	2	2	amplified
0.555555555555556	0	2	2	amplified
0.592592592592593	0	2	2	amplified
0.62962962962963	0	2	2	amplified
0.666666666666667	0	2	2	amplified
0.703703703703704	0	2	2	amplified
0.740740740740741	0	2	2	amplified
0.777777777777778	0	2	2	amplified
0.814814814814815	0	2	2	amplified
0.851851851851852	0	2	2	amplified
0.888888888888889	0	2	2	amplified
0.925925925925926	0	2	2	amplified
0.962962962962963	0	2	2	amplified
1	0	2	2	amplified
