x	p	B	CN	Peak
0	1.23977661132812e-05	1	2	non-amplified
0.0476190476190476	0.000260353088378907	1	2	non-amplified
0.0952380952380952	0.00260353088378907	1	2	non-amplified
0.142857142857143	0.0164890289306641	1	2	non-amplified
0.19047619047619	0.0742006301879883	1	2	non-amplified
0.238095238095238	0.25228214263916	1	2	non-amplified
0.285714285714286	0.672752380371094	1	2	non-amplified
0.333333333333333	1.44161224365235	1	2	non-amplified
0.380952380952381	2.5228214263916	1	2	non-amplified
0.428571428571429	3.64407539367676	1	2	non-amplified
0.476190476190476	4.37289047241211	1	2	non-amplified
0.523809523809524	4.37289047241211	1	2	non-amplified
0.571428571428571	3.64407539367676	1	2	non-amplified
0.619047619047619	2.5228214263916	1	2	non-amplified
0.666666666666667	1.44161224365235	1	2	non-amplified
0.714285714285714	0.672752380371094	1	2	non-amplified
0.761904761904762	0.25228214263916	1	2	non-amplified
0.80952380952381	0.0742006301879883	1	2	non-amplified
0.857142857142857	0.0164890289306641	1	2	non-amplified
0.904761904761905	0.00260353088378907	1	2	non-amplified
0.952380952380952	0.000260353088378906	1	2	non-amplified
1	1.23977661132812e-05	1	2	non-amplified
0	0	2	2	amplified
0.0476190476190476	0	2	2	amplified
0.0952380952380952	0	2	2	amplified
0.142857142857143	0	2	2	amplified
0.19047619047619	0	2	2	amplified
0.238095238095238	0	2	2	amplified
0.285714285714286	0	2	2	amplified
0.333333333333333	0	2	2	amplified
0.380952380952381	0	2	2	amplified
0.428571428571429	0	2	2	amplified
0.476190476190476	0	2	2	amplified
0.523809523809524	0	2	2	amplified
0.571428571428571	0	2	2	amplified
0.619047619047619	0	2	2	amplified
0.666666666666667	0	2	2	amplified
0.714285714285714	0	2	2	amplified
0.761904761904762	0	2	2	amplified
0.80952380952381	0	2	2	amplified
0.857142857142857	0	2	2	amplified
0.904761904761905	0	2	2	amplified
0.952380952380952	0	2	2	amplified
1	0	2	2	amplified
0	0.000591275887764872	1	3	non-amplified
0.03125	0.00946041420423793	1	3	non-amplified
0.0625	0.073318210082844	1	3	non-amplified
0.09375	0.366591050414221	1	3	non-amplified
0.125	1.32889255775155	1	3	non-amplified
0.15625	3.72089916170434	1	3	non-amplified
0.1875	8.37202311383475	1	3	non-amplified
0.21875	15.5480429256931	1	3	non-amplified
0.25	24.2938170713955	1	3	non-amplified
0.28125	32.3917560951939	1	3	non-amplified
0.3125	37.250519509473	1	3	non-amplified
0.34375	37.250519509473	1	3	non-amplified
0.375	32.5942045707889	1	3	non-amplified
0.40625	25.072465054453	1	3	non-amplified
0.4375	17.0134584298074	1	3	non-amplified
0.46875	10.2080750578844	1	3	non-amplified
0.5	5.42303987450109	1	3	non-amplified
0.53125	2.55201876447112	1	3	non-amplified
0.5625	1.06334115186296	1	3	non-amplified
0.59375	0.391757266475829	1	3	non-amplified
0.625	0.127321111604644	1	3	non-amplified
0.65625	0.0363774604584697	1	3	non-amplified
0.6875	0.00909436511461739	1	3	non-amplified
0.71875	0.00197703589448205	1	3	non-amplified
0.75	0.000370694230215384	1	3	non-amplified
0.78125	5.93110768344613e-05	1	3	non-amplified
0.8125	7.98418342002366e-06	1	3	non-amplified
0.84375	8.87131491113735e-07	1	3	non-amplified
0.875	7.92081688494411e-08	1	3	non-amplified
0.90625	5.46263233444422e-09	1	3	non-amplified
0.9375	2.73131616722211e-10	1	3	non-amplified
0.96875	8.81069731361969e-12	1	3	non-amplified
1	1.37667145525308e-13	1	3	non-amplified
0	1.21153563976604e-14	2	3	amplified
0.03125	7.75382809450265e-13	2	3	amplified
0.0625	2.40368670929584e-11	2	3	amplified
0.09375	4.80737341859167e-10	2	3	amplified
0.125	6.97069145695791e-09	2	3	amplified
0.15625	7.80717443179285e-08	2	3	amplified
0.1875	7.0264569886136e-07	2	3	amplified
0.21875	5.21965376297009e-06	2	3	amplified
0.25	3.26228360185629e-05	2	3	amplified
0.28125	0.00017398845876567	2	3	amplified
0.3125	0.00080034691032208	2	3	amplified
0.34375	0.00320138764128831	2	3	amplified
0.375	0.0112048567445091	2	3	amplified
0.40625	0.0344764822907972	2	3	amplified
0.4375	0.0935790233607351	2	3	amplified
0.46875	0.224589656065765	2	3	amplified
0.5	0.477253019139751	2	3	amplified
0.53125	0.898358624263056	2	3	amplified
0.5625	1.49726437377176	2	3	amplified
0.59375	2.20649486661102	2	3	amplified
0.625	2.86844332659432	2	3	amplified
0.65625	3.27822094467922	2	3	amplified
0.6875	3.27822094467922	2	3	amplified
0.71875	2.85062690841671	2	3	amplified
0.75	2.13797018131253	2	3	amplified
0.78125	1.36830091604002	2	3	amplified
0.8125	0.736777416329242	2	3	amplified
0.84375	0.327456629479663	2	3	amplified
0.875	0.116948796242737	2	3	amplified
0.90625	0.0322617368945482	2	3	amplified
0.9375	0.00645234737890962	2	3	amplified
0.96875	0.000832560952117371	2	3	amplified
1	5.20350595073356e-05	2	3	amplified
0	0	3	3	amplified
0.03125	0	3	3	amplified
0.0625	0	3	3	amplified
0.09375	0	3	3	amplified
0.125	0	3	3	amplified
0.15625	0	3	3	amplified
0.1875	0	3	3	amplified
0.21875	0	3	3	amplified
0.25	0	3	3	amplified
0.28125	0	3	3	amplified
0.3125	0	3	3	amplified
0.34375	0	3	3	amplified
0.375	0	3	3	amplified
0.40625	0	3	3	amplified
0.4375	0	3	3	amplified
0.46875	0	3	3	amplified
0.5	0	3	3	amplified
0.53125	0	3	3	amplified
0.5625	0	3	3	amplified
0.59375	0	3	3	amplified
0.625	0	3	3	amplified
0.65625	0	3	3	amplified
0.6875	0	3	3	amplified
0.71875	0	3	3	amplified
0.75	0	3	3	amplified
0.78125	0	3	3	amplified
0.8125	0	3	3	amplified
0.84375	0	3	3	amplified
0.875	0	3	3	amplified
0.90625	0	3	3	amplified
0.9375	0	3	3	amplified
0.96875	0	3	3	amplified
1	0	3	3	amplified
0	0.00546992751819207	1	4	non-amplified
0.024390243902439	0.0747556760819583	1	4	non-amplified
