Time	Time.lo	Time.up	SegNo	SegId
0.237823177185417	4.10651660337207e-27	0.655609178783625	1	1_4N_II
0.0409508129137123	9.4111707295237e-27	0.625287594222224	2	1_3N_II
0.361290257875129	0.315083145406362	0.492002923224515	3	1_4N_II
0.461505475653412	0.388580697490418	0.530133968620545	4	2_4N_II
0.381481352707809	0.3310317428437	0.468813715249702	5	3_4N_II
0.329370839869577	0.229602502276776	0.415046800497197	6	4_4N_II
0.355589106825353	0.294698214112325	0.466343814535082	7	5_4N_II
0.45155104839158	0.342204112698553	0.585085014592269	8	6_4N_II
0.364477113787698	0.272428448642058	0.512767464302736	9	6_4N_II
0.375717665351996	0.26438776730739	0.474956377603611	10	7_4N_II
0.513439141606996	0.383036771012243	0.58254133487829	11	8_4N_II
0.575661084236229	0.501229389184741	0.681167651795651	12	9_4N_II
0.5007578676204	0.187095662438415	0.736402808137593	13	9_2N_II
0.397243937841096	0.308744019931163	0.501233818469211	14	10_4N_II
0.382424614923445	0.255835817702057	0.533029818418741	15	11_4N_II
0.589679775234855	0.475575249992049	0.705427458102151	16	12_4N_II
0.391224955903844	0.343947759432134	0.530101988127679	17	13_4N_II
0.338434663162199	0.140832747416339	0.745739343139836	18	14_4N_II
0.599791739454803	6.92186665589264e-11	1	19	14_3N_II
0.449627310083109	0.311417990841051	0.675669500021951	20	14_4N_II
0.283416561857282	0.194146275774427	0.421531333897242	21	15_4N_II
0.638624661125727	0.0967088240495567	0.999519566091026	22	16_3N_II
0.494136516665639	0.180610364894775	0.690828534069459	23	16_3N_II
0.354543605519207	0.214163074802984	0.547427866664383	24	17_4N_II
0.391192949743944	0.293954742488168	0.555243141051779	25	18_4N_II
0.476747113316158	0.266728707474474	0.663394222231382	26	19_4N_II
0.400203183998836	0.320805850412984	0.524465974212236	27	20_4N_II
0.275384439800201	0.0248489463470199	0.626713702566709	28	21_4N_II
0.6567761402579	0.274489994516153	0.832685968295614	29	22_4N_II
