Time	Time.lo	Time.up	SegNo	SegId
0.675946157893058	0.391165969191288	0.881527195668917	1	1_4N_II
0.639012521000646	0.338179209158062	0.82550389448127	2	2_4N_III
0.77392389516952	0.580341771680568	0.864195749223552	3	3_4N_II
0.671385710023551	0.234828424281513	0.853463234533131	4	4_3N_II
0.532095974983048	0.281703257025878	0.712945144600906	5	6_4N_II
0.453359511425047	2.20315711423368e-62	0.809807559853628	6	9_3N_II
2.35592077412168e-64	1.04707589960963e-64	0.555555555555927	7	9_3N_II
0.626845490929395	0.318030837562328	0.811150104667023	8	10_4N_II
0.344997484518944	0.0196165805614916	0.775461035607826	9	14_4N_II
1	0.615384615384614	1	10	15_4N_II
0.563257185114374	0.124331006080968	0.884902330230607	11	16_4N_II
0.529636997322037	3.81464250251825e-10	0.734064013482698	12	17_4N_II
0.32988799136535	1.14528216867045e-32	0.619979846854196	13	18_4N_II
0.505986055847326	0.172461731593325	0.840851162280396	14	19_4N_II
0.509478151759223	0.0366973189559	0.882840267157967	15	20_4N_II
2.39521993673574e-107	8.98207476275904e-108	0.625000000000002	16	21_4N_II
0.919482661004287	0.275667608166724	0.995707896564185	17	22_4N_II
