Time	Time.lo	Time.up	SegNo	SegId
0.239659501011106	0.145828543268571	0.359598452933406	1	1_4N_II
0.115199544532581	3.10966322878351e-16	0.159001547278493	2	2_3N_II
0.173519970235655	0.128389019432663	0.263927117532876	3	3_4N_II
0.162922929844673	0.0940808884643046	0.29585264018504	4	5_4N_II
0.169868265869462	0.11227282646838	0.308647101366641	5	6_4N_II
0.138268776383889	0.031828340329892	0.337550985168201	6	7_4N_II
0.0409469334235579	5.92420698886829e-46	0.333820546016765	7	8_3N_II
0.0271805703103825	3.86518556163551e-42	0.209770225179828	8	9_4N_II
0.416358166120441	0.304665061024567	0.548886287548035	9	10_4N_II
1.55955467799898e-85	1.34880404583696e-85	0.135135135135135	10	11_3N_II
0.261293002224484	0.1309416729498	0.399005708969609	11	12_4N_II
0.415268511410762	0.157515494218255	0.780819307635877	12	13_3N_II
0.0875858370502332	0.00291191546614612	0.254596907902174	13	14_4N_II
0.0675876478309508	2.38344488711898e-45	0.268367558786864	14	15_4N_II
0.196139855551943	0.0746218972819381	0.399292072856031	15	16_4N_II
7.16496827547908e-308	3.18443034465737e-308	0.555555555615683	16	17_3N_III
0.196127063770224	0.0114001184418537	0.46482530999767	17	18_4N_II
0.426481524406996	0.239411153955425	0.572002038888874	18	19_4N_II
0.313561194146314	0.126176113144719	0.477313575060928	19	20_4N_II
0.199816086818353	0.0600189758834211	0.429948506651729	20	21_4N_II
5.98712953835534e-121	4.11615155761929e-121	0.3125	21	22_3N_II
